id,round,cost,offer,accepted,asked_invalid_budget,budget,wealth,profit
0sMx,1,5.4,4800,FALSE,0,5400,1000,-400
0sMx,2,4.1,4800,TRUE,0,4800,2700,-200
0sMx,3,5.5,4500,FALSE,0,5500,3700,-700
0sMx,4,4.8,5400,FALSE,0,6000,5900,-1700
0sMx,5,4,4100,FALSE,0,6000,8900,-2700
0sMx,6,4.1,4200,FALSE,0,6000,11800,-3700
0sMx,7,4,5500,FALSE,0,6000,14800,-4700
0sMx,8,4.9,5700,FALSE,0,6000,16900,-5700
0sMx,9,5.2,5400,FALSE,0,6000,18700,-6700
0sMx,10,4.4,5100,FALSE,0,6000,21300,-7700
22DD,1,5.4,NA,NA,0,5900,1500,-900
22DD,2,4.6,NA,NA,0,5100,3000,-1000
22DD,3,6,NA,NA,0,6000,4000,-2000
22DD,4,5.2,NA,NA,0,6000,5800,-3000
22DD,5,5.7,NA,NA,0,6000,7100,-4000
22DD,6,5.1,NA,NA,0,6000,9000,-5000
22DD,7,5.3,NA,NA,0,6000,10700,-6000
22DD,8,5.6,NA,NA,0,6000,12100,-7000
22DD,9,4.1,NA,NA,0,6000,15000,-8000
22DD,10,4.1,NA,NA,0,6000,17900,-9000
25DU,1,4.3,NA,NA,0,4300,1000,700
25DU,2,5.9,NA,NA,0,5900,2000,-200
25DU,3,4.3,NA,NA,0,4300,3000,500
25DU,4,5.3,NA,NA,0,5300,4000,200
25DU,5,5.3,NA,NA,0,5300,5000,-100
25DU,6,4.1,NA,NA,0,4100,6000,800
25DU,7,4.6,NA,NA,0,4600,7000,1200
25DU,8,6,NA,NA,0,6000,8000,200
25DU,9,5.7,NA,NA,0,5700,9000,-500
25DU,10,4.1,NA,NA,0,4100,10000,400
3Qx1,1,4.9,NA,NA,0,5000,1100,0
3Qx1,2,4.7,NA,NA,0,4700,2100,300
3Qx1,3,5,NA,NA,0,5000,3100,300
3Qx1,4,5.8,NA,NA,0,5800,4100,-500
3Qx1,5,4,NA,NA,0,4000,5100,500
3Qx1,6,4.5,NA,NA,0,4500,6100,1000
3Qx1,7,5,NA,NA,0,5000,7100,1000
3Qx1,8,5.5,NA,NA,0,5500,8100,500
3Qx1,9,4.9,NA,NA,0,5000,9200,500
3Qx1,10,5,NA,NA,0,5000,10200,500
5FNa,1,4.8,NA,NA,0,5000,1200,0
5FNa,2,4.9,NA,NA,0,6000,3300,-1000
5FNa,3,5.7,NA,NA,0,5700,4300,-1700
5FNa,4,5.7,NA,NA,0,6000,5600,-2700
5FNa,5,5.8,NA,NA,0,5800,6600,-3500
5FNa,6,4.6,NA,NA,0,4600,7600,-3100
5FNa,7,4.6,NA,NA,0,4700,8700,-2800
5FNa,8,4.7,NA,NA,0,4800,9800,-2600
5FNa,9,5.8,NA,NA,0,6000,11000,-3600
5FNa,10,5.3,NA,NA,0,5400,12100,-4000
5RjF,1,4.4,NA,NA,0,4600,1200,400
5RjF,2,5,NA,NA,0,5100,2300,300
5RjF,3,4.2,NA,NA,0,4600,3700,700
5RjF,4,5.7,NA,NA,0,6000,5000,-300
5RjF,5,5,NA,NA,0,5000,6000,-300
5RjF,6,5.4,NA,NA,0,5400,7000,-700
5RjF,7,5,NA,NA,1,5000,8000,-700
5RjF,8,5.7,NA,NA,0,5800,9100,-1500
5RjF,9,4.9,NA,NA,0,5000,10200,-1500
5RjF,10,4.7,NA,NA,0,4700,11200,-1200
8TMC,1,4,4300,FALSE,0,4000,1000,1000
8TMC,2,5,4900,FALSE,0,5000,2000,1000
8TMC,3,4.3,5500,FALSE,0,4800,3500,1200
8TMC,4,4.4,5800,FALSE,0,4900,5000,1300
8TMC,5,5.3,4100,FALSE,1,5300,6000,1000
8TMC,6,4.9,4500,FALSE,0,4900,7000,1100
8TMC,7,5.5,5400,FALSE,0,5500,8000,600
8TMC,8,5.1,6000,FALSE,0,5100,9000,500
8TMC,9,5.1,5400,FALSE,0,5100,10000,400
8TMC,10,4.2,5700,FALSE,0,4200,11000,1200
9GKI,1,4.2,4100,FALSE,0,6000,2800,-1000
9GKI,2,4.2,5600,TRUE,0,5600,5200,-1600
9GKI,3,4.4,4900,FALSE,0,5100,6900,-1700
9GKI,4,5,5900,FALSE,0,6000,8900,-2700
9GKI,5,5.5,5300,FALSE,0,6000,10400,-3700
9GKI,6,5.5,4200,FALSE,0,6000,11900,-4700
9GKI,7,4.4,4500,FALSE,0,5200,13700,-4900
9GKI,8,5,4200,FALSE,0,6000,15700,-5900
9GKI,9,5.7,5700,FALSE,0,6000,17000,-6900
9GKI,10,4.5,5000,FALSE,0,5500,19000,-7400
9jrC,1,5.6,NA,NA,0,5800,1200,-800
9jrC,2,4.7,NA,NA,0,5000,2500,-800
9jrC,3,5.2,NA,NA,0,5200,3500,-1000
9jrC,4,5.5,NA,NA,0,6000,5000,-2000
9jrC,5,4.8,NA,NA,0,5000,6200,-2000
9jrC,6,4.3,NA,NA,0,6000,8900,-3000
9jrC,7,5.4,NA,NA,0,6000,10500,-4000
9jrC,8,4.6,NA,NA,0,6000,12900,-5000
9jrC,9,4.9,NA,NA,0,6000,15000,-6000
9jrC,10,5.8,NA,NA,0,6000,16200,-7000
9vEl,1,4.3,5300,FALSE,0,6000,2700,-1000
9vEl,2,4.9,4200,FALSE,0,6000,4800,-2000
9vEl,3,5.7,4000,FALSE,0,6000,6100,-3000
9vEl,4,5.9,4500,FALSE,0,6000,7200,-4000
9vEl,5,5.8,4600,FALSE,0,6000,8400,-5000
9vEl,6,5.5,4700,FALSE,0,6000,9900,-6000
9vEl,7,5.3,4600,FALSE,0,6000,11600,-7000
9vEl,8,5.4,5200,FALSE,0,6000,13200,-8000
9vEl,9,5.3,4900,FALSE,0,6000,14900,-9000
9vEl,10,4.7,4800,FALSE,0,6000,17200,-10000
bDfX,1,5.5,NA,NA,0,6000,1500,-1000
