id,round,cost,offer,accepted,asked_invalid_budget,budget,wealth,profit
03k8,1,4.9,NA,NA,0,5000,1100,0
03k8,2,5.4,NA,NA,1,6000,2700,-1000
03k8,3,5.5,NA,NA,1,5800,4000,-1800
03k8,4,5.3,NA,NA,0,5500,5200,-2300
03k8,5,5,NA,NA,1,5400,6600,-2700
03k8,6,4.1,NA,NA,0,5400,8900,-3100
03k8,7,4.5,NA,NA,0,5600,11000,-3700
03k8,8,5.3,NA,NA,1,5300,12000,-4000
03k8,9,4.4,NA,NA,0,4500,13100,-3500
03k8,10,4.3,NA,NA,0,5500,15300,-4000
0u20,1,4.9,NA,NA,0,5000,1100,0
0u20,2,6,NA,NA,0,6000,2100,-1000
5G0V,1,4.8,NA,NA,0,4800,1000,200
6Y2B,1,5.7,6000,TRUE,0,6000,1300,-1000
6Y2B,2,4.5,5000,TRUE,0,5000,2800,-1000
6Y2B,3,5.2,4300,FALSE,0,5200,3800,-1200
6Y2B,4,5.6,5200,FALSE,0,5600,4800,-1800
6Y2B,5,5.2,6000,TRUE,0,6000,6600,-2800
6Y2B,6,5,5200,TRUE,0,5200,7800,-3000
6Y2B,7,5.4,4900,FALSE,0,5400,8800,-3400
6Y2B,8,5.6,5000,FALSE,0,5600,9800,-4000
6Y2B,9,4.3,5400,TRUE,0,5400,11900,-4400
6Y2B,10,5.6,5900,TRUE,0,5900,13200,-5300
6swO,1,4,NA,NA,0,4000,1000,1000
6swO,2,4.8,NA,NA,1,4800,2000,1200
6swO,3,5.7,NA,NA,0,5700,3000,500
6swO,4,4.4,NA,NA,0,4400,4000,1100
6swO,5,4.9,NA,NA,0,4900,5000,1200
6swO,6,5.1,NA,NA,1,6000,6900,200
6swO,7,4.2,NA,NA,0,5000,8700,200
6swO,8,4.4,NA,NA,0,4800,10100,400
6swO,9,4.2,NA,NA,0,4700,11600,700
6swO,10,5.3,NA,NA,0,5800,13100,-100
A61k,1,5,NA,NA,0,6000,2000,-1000
A61k,2,4.8,NA,NA,0,6000,4200,-2000
A61k,3,5,NA,NA,0,6000,6200,-3000
A61k,4,4.8,NA,NA,0,6000,8400,-4000
A61k,5,4.5,NA,NA,0,6000,10900,-5000
A61k,6,4.7,NA,NA,0,6000,13200,-6000
A61k,7,4.7,NA,NA,0,6000,15500,-7000
A61k,8,4,NA,NA,0,6000,18500,-8000
A61k,9,4.1,NA,NA,0,6000,21400,-9000
A61k,10,4.9,NA,NA,0,6000,23500,-10000
AmqY,1,5.3,NA,NA,0,6000,1700,-1000
AmqY,2,5,NA,NA,0,6000,3700,-2000
AmqY,3,5.6,NA,NA,0,6000,5100,-3000
AmqY,4,4.8,NA,NA,0,6000,7300,-4000
AmqY,5,5.3,NA,NA,0,6000,9000,-5000
AmqY,6,5.4,NA,NA,0,6000,10600,-6000
AmqY,7,5.5,NA,NA,0,6000,12100,-7000
AmqY,8,5.8,NA,NA,0,6000,13300,-8000
AmqY,9,4.8,NA,NA,0,6000,15500,-9000
BgJ2,1,4.5,5600,TRUE,0,5600,2100,-600
BgJ2,2,5.8,5200,FALSE,0,5800,3100,-1400
BgJ2,3,5.8,4800,FALSE,0,5800,4100,-2200
BgJ2,4,4.6,4800,TRUE,0,4800,5300,-2000
BgJ2,5,5.7,5200,FALSE,0,6000,6600,-3000
BgJ2,6,5.9,4100,FALSE,0,5900,7600,-3900
BgJ2,7,5.8,4400,FALSE,1,5800,8600,-4700
BgJ2,8,5.7,5900,TRUE,0,5900,9800,-5600
BgJ2,9,4.3,5500,FALSE,0,4300,10800,-4900
BgJ2,10,4.3,5200,FALSE,0,4300,11800,-4200
CaNW,1,5.6,NA,NA,1,5600,1000,-600
CaNW,2,4.6,NA,NA,0,4600,2000,-200
CaNW,3,4.4,NA,NA,0,5900,4500,-1100
CaNW,4,5.1,NA,NA,1,5200,5600,-1300
CaNW,5,5.6,NA,NA,1,5600,6600,-1900
CaNW,6,4.6,NA,NA,0,5100,8100,-2000
CaNW,7,5.7,NA,NA,1,5800,9200,-2800
CaNW,8,4.7,NA,NA,0,5700,11200,-3500
CaNW,9,4.6,NA,NA,1,5700,13300,-4200
CaNW,10,5.2,NA,NA,0,5500,14600,-4700
E3NI,1,5.5,NA,NA,0,6000,1500,-1000
E3NI,2,4.2,NA,NA,0,6000,4300,-2000
E3NI,3,5,NA,NA,0,6000,6300,-3000
E3NI,4,5.6,NA,NA,0,6000,7700,-4000
E3NI,5,4.2,NA,NA,0,6000,10500,-5000
E3NI,6,5.4,NA,NA,0,6000,12100,-6000
E3NI,7,5.5,NA,NA,0,6000,13600,-7000
E3NI,8,5.8,NA,NA,0,6000,14800,-8000
E3NI,9,5.1,NA,NA,0,6000,16700,-9000
E3NI,10,4.6,NA,NA,0,6000,19100,-10000
EjYW,1,4.3,4400,TRUE,0,4400,1100,600
EjYW,2,5.3,4600,FALSE,1,5500,2300,100
EjYW,3,4.5,4700,TRUE,0,4700,3500,400
EjYW,4,5.4,5800,TRUE,0,5800,4900,-400
EjYW,5,4.2,5600,FALSE,0,4500,6200,100
EjYW,6,4.8,4900,TRUE,0,4900,7300,200
EjYW,7,4.2,5600,FALSE,0,4600,8700,600
EjYW,8,4,4700,FALSE,0,4500,10200,1100
EjYW,9,4.8,5400,TRUE,0,5400,11800,700
EjYW,10,4.9,5600,TRUE,0,5600,13500,100
FqEC,1,5.6,NA,NA,0,5600,1000,-600
FqEC,2,5.8,NA,NA,0,6000,2200,-1600
FqEC,3,5.7,NA,NA,0,5800,3300,-2400
FqEC,4,5.4,NA,NA,0,5400,4300,-2800
FqEC,5,4.2,NA,NA,1,4200,5300,-2000
FqEC,6,5.5,NA,NA,0,6000,6800,-3000
FqEC,7,5.6,NA,NA,1,5600,7800,-3600
FqEC,8,5.8,NA,NA,1,5900,8900,-4500
FqEC,9,4.6,NA,NA,0,4600,9900,-4100
FqEC,10,4.8,NA,NA,0,4800,10900,-3900
HelR,1,5,NA,NA,0,6000,2000,-1000
HelR,2,4.9,NA,NA,0,6000,4100,-2000
HelR,3,4.2,NA,NA,0,6000,6900,-3000
HelR,4,5.7,NA,NA,0,6000,8200,-4000
HelR,5,5.7,NA,NA,0,6000,9500,-5000
HelR,6,4.4,NA,NA,0,6000,12100,-6000
HelR,7,4.9,NA,NA,0,6000,14200,-7000
HelR,8,4.5,NA,NA,0,6000,16700,-8000
HelR,9,5.9,NA,NA,0,6000,17800,-9000
IwIa,1,4.6,NA,NA,0,6000,2400,-1000
IwIa,2,5.7,NA,NA,0,5700,3400,-1700
IwIa,3,4.9,NA,NA,0,4900,4400,-1600
IwIa,4,4.7,NA,NA,0,4700,5400,-1300
IwIa,5,4.3,NA,NA,0,4300,6400,-600
IwIa,6,4.7,NA,NA,0,4700,7400,-300
IwIa,7,4.9,NA,NA,0,4900,8400,-200
IwIa,8,4.8,NA,NA,0,4800,9400,0
IwIa,9,4.4,NA,NA,0,4400,10400,600
IwIa,10,5,NA,NA,0,5000,11400,600
J7s2,1,5.4,NA,NA,0,6000,1600,-1000
J7s2,2,5.6,NA,NA,0,6000,3000,-2000
J7s2,3,5.7,NA,NA,1,5700,4000,-2700
J7s2,4,4.2,NA,NA,0,4200,5000,-1900
J7s2,5,6,NA,NA,0,6000,6000,-2900
J7s2,6,4.8,NA,NA,1,6000,8200,-3900
J7s2,7,4.4,NA,NA,0,6000,10800,-4900
J7s2,8,5,NA,NA,0,6000,12800,-5900
J7s2,9,4,NA,NA,0,6000,15800,-6900
J7s2,10,5.7,NA,NA,0,6000,17100,-7900
O8xN,1,5.9,5900,FALSE,0,6000,1100,-1000
O8xN,2,5.4,5000,FALSE,1,5400,2100,-1400
O8xN,3,5.6,4700,FALSE,0,5600,3100,-2000
O8xN,4,4.6,5600,TRUE,0,5600,5100,-2600
O8xN,5,4.6,5300,FALSE,0,5000,6500,-2600
O8xN,6,4.2,5500,FALSE,0,4200,7500,-1800
O8xN,7,6,5600,FALSE,0,6000,8500,-2800
O8xN,8,5.8,5900,TRUE,0,5900,9600,-3700
O8xN,9,5.1,5100,TRUE,0,5100,10600,-3800
O8xN,10,4,5000,FALSE,0,6000,13600,-4800
ORkX,1,5.2,NA,NA,0,5200,1000,-200
ORkX,2,4.2,NA,NA,0,4200,2000,600
ORkX,3,4.9,NA,NA,0,5000,3100,600
ORkX,4,4.7,NA,NA,0,5000,4400,600
ORkX,5,5.3,NA,NA,0,5300,5400,300
ORkX,6,5.4,NA,NA,0,5700,6700,-400
ORkX,7,5.9,NA,NA,0,5900,7700,-1300
ORkX,8,4.5,NA,NA,0,4500,8700,-800
ORkX,9,5.1,NA,NA,0,5200,9800,-1000
ORkX,10,5,NA,NA,0,5000,10800,-1000
PUTm,1,4.3,4500,TRUE,0,4500,1200,500
PUTm,2,4.1,4400,TRUE,0,4400,2500,1100
PUTm,3,4.7,4200,FALSE,0,5000,3800,1100
PUTm,4,4.4,4500,FALSE,0,4700,5100,1400
PUTm,5,5.9,5300,FALSE,0,6000,6200,400
PUTm,6,5,4800,FALSE,1,5000,7200,400
PUTm,7,5.7,4200,FALSE,1,5700,8200,-300
PUTm,8,5.5,4800,FALSE,0,5500,9200,-800
PUTm,9,4.2,5100,TRUE,0,5100,11100,-900
PUTm,10,4.9,4400,FALSE,0,4900,12100,-800
QQzQ,1,4.9,NA,NA,1,6000,2100,-1000
QQzQ,2,5.3,NA,NA,0,5300,3100,-1300
QQzQ,3,5.4,NA,NA,0,5400,4100,-1700
QQzQ,4,4.4,NA,NA,0,6000,6700,-2700
