id,round,page_name,time_spent,time_entered,time_done
0sMx,1,S1,126,2021-02-03T16:50:29Z,2021-02-03T16:52:35Z
0sMx,1,S2,56,2021-02-03T16:52:35Z,2021-02-03T16:53:31Z
0sMx,1,S3,56,2021-02-03T16:53:31Z,2021-02-03T16:54:27Z
0sMx,2,S2,29,2021-02-03T16:54:27Z,2021-02-03T16:54:56Z
0sMx,2,S3,9,2021-02-03T16:54:56Z,2021-02-03T16:55:05Z
0sMx,3,S2,28,2021-02-03T16:55:05Z,2021-02-03T16:55:33Z
0sMx,3,S3,8,2021-02-03T16:55:33Z,2021-02-03T16:55:41Z
0sMx,4,S2,11,2021-02-03T16:55:41Z,2021-02-03T16:55:52Z
0sMx,4,S3,4,2021-02-03T16:55:52Z,2021-02-03T16:55:56Z
0sMx,5,S2,9,2021-02-03T16:55:56Z,2021-02-03T16:56:05Z
0sMx,5,S3,6,2021-02-03T16:56:05Z,2021-02-03T16:56:11Z
0sMx,6,S2,9,2021-02-03T16:56:11Z,2021-02-03T16:56:20Z
0sMx,6,S3,1,2021-02-03T16:56:20Z,2021-02-03T16:56:21Z
0sMx,7,S2,8,2021-02-03T16:56:21Z,2021-02-03T16:56:29Z
0sMx,7,S3,13,2021-02-03T16:56:29Z,2021-02-03T16:56:42Z
0sMx,8,S2,8,2021-02-03T16:56:42Z,2021-02-03T16:56:50Z
0sMx,8,S3,2,2021-02-03T16:56:50Z,2021-02-03T16:56:52Z
0sMx,9,S2,7,2021-02-03T16:56:52Z,2021-02-03T16:56:59Z
0sMx,9,S3,1,2021-02-03T16:56:59Z,2021-02-03T16:57:00Z
0sMx,10,S2,8,2021-02-03T16:57:00Z,2021-02-03T16:57:08Z
0sMx,10,S3,2,2021-02-03T16:57:08Z,2021-02-03T16:57:10Z
0sMx,10,S4,75,2021-02-03T16:57:10Z,2021-02-03T16:58:25Z
1zlb,1,S1,5,2021-02-01T20:28:09Z,2021-02-01T20:28:14Z
22DD,1,S1,706,2021-02-01T14:50:38Z,2021-02-01T15:02:24Z
22DD,1,S2,204,2021-02-01T15:02:24Z,2021-02-01T15:05:48Z
22DD,1,S3,168,2021-02-01T15:05:48Z,2021-02-01T15:08:36Z
22DD,2,S2,147,2021-02-01T15:08:36Z,2021-02-01T15:11:03Z
22DD,2,S3,111,2021-02-01T15:11:03Z,2021-02-01T15:12:54Z
22DD,3,S2,19,2021-02-01T15:12:54Z,2021-02-01T15:13:13Z
22DD,3,S3,59,2021-02-01T15:13:13Z,2021-02-01T15:14:12Z
22DD,4,S2,69,2021-02-01T15:14:12Z,2021-02-01T15:15:21Z
22DD,4,S3,28,2021-02-01T15:15:21Z,2021-02-01T15:15:49Z
22DD,5,S2,22,2021-02-01T15:15:49Z,2021-02-01T15:16:11Z
22DD,5,S3,22,2021-02-01T15:16:11Z,2021-02-01T15:16:33Z
22DD,6,S2,14,2021-02-01T15:16:33Z,2021-02-01T15:16:47Z
22DD,6,S3,12,2021-02-01T15:16:47Z,2021-02-01T15:16:59Z
22DD,7,S2,17,2021-02-01T15:16:59Z,2021-02-01T15:17:16Z
22DD,7,S3,14,2021-02-01T15:17:16Z,2021-02-01T15:17:30Z
22DD,8,S2,5,2021-02-01T15:17:30Z,2021-02-01T15:17:35Z
22DD,8,S3,33,2021-02-01T15:17:35Z,2021-02-01T15:18:08Z
22DD,9,S2,4,2021-02-01T15:18:08Z,2021-02-01T15:18:12Z
22DD,9,S3,29,2021-02-01T15:18:12Z,2021-02-01T15:18:41Z
22DD,10,S2,6,2021-02-01T15:18:41Z,2021-02-01T15:18:47Z
22DD,10,S3,16,2021-02-01T15:18:47Z,2021-02-01T15:19:03Z
22DD,10,S4,81,2021-02-01T15:19:03Z,2021-02-01T15:20:24Z
25DU,1,S1,5,2021-02-01T14:09:06Z,2021-02-01T14:09:11Z
25DU,1,S2,13,2021-02-01T14:09:11Z,2021-02-01T14:09:24Z
25DU,1,S3,3,2021-02-01T14:09:24Z,2021-02-01T14:09:27Z
25DU,2,S2,7,2021-02-01T14:09:27Z,2021-02-01T14:09:34Z
25DU,2,S3,2,2021-02-01T14:09:34Z,2021-02-01T14:09:36Z
25DU,3,S2,9,2021-02-01T14:09:36Z,2021-02-01T14:09:45Z
25DU,3,S3,2,2021-02-01T14:09:45Z,2021-02-01T14:09:47Z
25DU,4,S2,9,2021-02-01T14:09:47Z,2021-02-01T14:09:56Z
25DU,4,S3,1,2021-02-01T14:09:56Z,2021-02-01T14:09:57Z
25DU,5,S2,5,2021-02-01T14:09:57Z,2021-02-01T14:10:02Z
25DU,5,S3,1,2021-02-01T14:10:02Z,2021-02-01T14:10:03Z
25DU,6,S2,5,2021-02-01T14:10:03Z,2021-02-01T14:10:08Z
25DU,6,S3,2,2021-02-01T14:10:08Z,2021-02-01T14:10:10Z
25DU,7,S2,4,2021-02-01T14:10:10Z,2021-02-01T14:10:14Z
25DU,7,S3,2,2021-02-01T14:10:14Z,2021-02-01T14:10:16Z
25DU,8,S2,7,2021-02-01T14:10:16Z,2021-02-01T14:10:23Z
25DU,8,S3,1,2021-02-01T14:10:23Z,2021-02-01T14:10:24Z
25DU,9,S2,12,2021-02-01T14:10:24Z,2021-02-01T14:10:36Z
25DU,9,S3,1,2021-02-01T14:10:36Z,2021-02-01T14:10:37Z
25DU,10,S2,5,2021-02-01T14:10:37Z,2021-02-01T14:10:42Z
25DU,10,S3,18,2021-02-01T14:10:42Z,2021-02-01T14:11:00Z
25DU,10,S4,24,2021-02-01T14:11:00Z,2021-02-01T14:11:24Z
3Qx1,1,S1,357,2021-02-03T19:41:22Z,2021-02-03T19:47:19Z
3Qx1,1,S2,33,2021-02-03T19:47:19Z,2021-02-03T19:47:52Z
3Qx1,1,S3,26,2021-02-03T19:47:52Z,2021-02-03T19:48:18Z
3Qx1,2,S2,28,2021-02-03T19:48:18Z,2021-02-03T19:48:46Z
3Qx1,2,S3,56,2021-02-03T19:48:46Z,2021-02-03T19:49:42Z
3Qx1,3,S2,14,2021-02-03T19:49:42Z,2021-02-03T19:49:56Z
3Qx1,3,S3,9,2021-02-03T19:49:56Z,2021-02-03T19:50:05Z
3Qx1,4,S2,19,2021-02-03T19:50:05Z,2021-02-03T19:50:24Z
3Qx1,4,S3,21,2021-02-03T19:50:24Z,2021-02-03T19:50:45Z
3Qx1,5,S2,10,2021-02-03T19:50:45Z,2021-02-03T19:50:55Z
3Qx1,5,S3,4,2021-02-03T19:50:55Z,2021-02-03T19:50:59Z
3Qx1,6,S2,19,2021-02-03T19:50:59Z,2021-02-03T19:51:18Z
3Qx1,6,S3,3,2021-02-03T19:51:18Z,2021-02-03T19:51:21Z
3Qx1,7,S2,12,2021-02-03T19:51:21Z,2021-02-03T19:51:33Z
3Qx1,7,S3,4,2021-02-03T19:51:33Z,2021-02-03T19:51:37Z
3Qx1,8,S2,12,2021-02-03T19:51:37Z,2021-02-03T19:51:49Z
3Qx1,8,S3,3,2021-02-03T19:51:49Z,2021-02-03T19:51:52Z
3Qx1,9,S2,17,2021-02-03T19:51:52Z,2021-02-03T19:52:09Z
3Qx1,9,S3,6,2021-02-03T19:52:09Z,2021-02-03T19:52:15Z
3Qx1,10,S2,9,2021-02-03T19:52:15Z,2021-02-03T19:52:24Z
3Qx1,10,S3,2,2021-02-03T19:52:24Z,2021-02-03T19:52:26Z
3Qx1,10,S4,725,2021-02-03T19:52:26Z,2021-02-03T20:04:31Z
5FNa,1,S1,147,2021-02-01T11:03:24Z,2021-02-01T11:05:51Z
5FNa,1,S2,32,2021-02-01T11:05:51Z,2021-02-01T11:06:23Z
5FNa,1,S3,25,2021-02-01T11:06:23Z,2021-02-01T11:06:48Z
5FNa,2,S2,24,2021-02-01T11:06:48Z,2021-02-01T11:07:12Z
5FNa,2,S3,18,2021-02-01T11:07:12Z,2021-02-01T11:07:30Z
5FNa,3,S2,8,2021-02-01T11:07:30Z,2021-02-01T11:07:38Z
5FNa,3,S3,8,2021-02-01T11:07:38Z,2021-02-01T11:07:46Z
5FNa,4,S2,17,2021-02-01T11:07:46Z,2021-02-01T11:08:03Z
5FNa,4,S3,8,2021-02-01T11:08:03Z,2021-02-01T11:08:11Z
5FNa,5,S2,23,2021-02-01T11:08:11Z,2021-02-01T11:08:34Z
5FNa,5,S3,3,2021-02-01T11:08:34Z,2021-02-01T11:08:37Z
5FNa,6,S2,17,2021-02-01T11:08:37Z,2021-02-01T11:08:54Z
5FNa,6,S3,2,2021-02-01T11:08:54Z,2021-02-01T11:08:56Z
5FNa,7,S2,6,2021-02-01T11:08:56Z,2021-02-01T11:09:02Z
5FNa,7,S3,2,2021-02-01T11:09:02Z,2021-02-01T11:09:04Z
5FNa,8,S2,4,2021-02-01T11:09:04Z,2021-02-01T11:09:08Z
5FNa,8,S3,2,2021-02-01T11:09:08Z,2021-02-01T11:09:10Z
